Field1,X,Y,Z
13978,586315.906,4475066.262,2.863
13979,586317.088,4475066.319,2.822
13980,586318.316,4475066.328,2.777
13981,586319.576,4475066.279,2.733
13982,586320.902,4475066.246,2.685
13983,586322.169,4475066.098,2.66
13984,586323.332,4475066.017,2.602
13985,586324.635,4475066.06,2.545
13986,586326.028,4475066.136,2.478
13987,586327.381,4475066.096,2.447
13988,586328.616,4475066.14,2.408
13989,586329.882,4475066.095,2.366
13990,586331.083,4475066.132,2.323
13991,586332.228,4475066.129,2.306
13992,586333.397,4475066.202,2.276
13993,586334.701,4475066.193,2.259
13994,586335.988,4475066.164,2.22
13995,586337.24,4475066.172,2.196
13996,586338.617,4475066.187,2.169
13997,586339.798,4475066.22,2.171
13998,586341.058,4475066.224,2.152
13999,586342.283,4475066.121,2.128
14000,586343.515,4475066.126,2.143
14001,586344.737,4475066.232,2.141
14002,586346.088,4475066.27,2.211
14003,586347.317,4475066.282,2.264
14004,586348.432,4475066.226,2.39
14005,586349.684,4475066.236,2.451
14006,586350.668,4475066.013,2.468
14007,586351.666,4475066.044,2.492
14008,586352.741,4475065.773,2.509
14009,586353.349,4475065.749,2.516
14010,586353.742,4475065.748,2.521
14011,586355.013,4475065.821,2.539
14012,586356.317,4475065.696,2.569
14013,586357.434,4475065.556,2.581
14014,586358.648,4475065.492,2.624
14015,586359.748,4475065.509,2.678
14016,586360.92,4475065.58,2.695
14017,586362.142,4475065.592,2.707
14018,586363.231,4475065.555,2.702
14019,586364.504,4475065.544,2.705
14020,586365.618,4475065.414,2.804
14021,586366.82,4475065.413,2.795
14022,586367.848,4475065.382,2.84
14023,586368.932,4475065.436,2.888
14024,586370.151,4475065.478,2.901
14025,586371.343,4475065.519,2.887
14026,586372.426,4475065.59,3.003
14027,586373.563,4475065.807,2.989
14028,586374.799,4475065.894,2.988
14029,586376.016,4475065.968,2.997
14030,586377.338,4475065.993,3.02
14031,586378.692,4475066.113,2.976
14032,586379.794,4475066.27,2.896
14033,586381.304,4475066.381,2.794
14115,586380.085,4475093.184,2.951
14116,586378.756,4475093.019,3.043
14117,586377.406,4475092.798,3.112
14118,586375.89,4475092.573,3.05
14119,586374.385,4475092.32,3.068
14120,586372.934,4475092.218,3.103
14121,586371.404,4475092.067,3.056
14122,586369.954,4475091.85,3.015
14123,586368.653,4475091.715,2.986
14124,586367.353,4475091.638,2.944
14125,586365.924,4475091.492,2.9
14126,586364.76,4475091.406,2.86
14127,586363.444,4475091.276,2.84
14128,586362.125,4475091.177,2.795
14129,586360.692,4475091.12,2.756
14130,586359.544,4475091.181,2.787
14131,586358.336,4475091.186,2.738
14132,586357.144,4475091.163,2.712
14133,586355.946,4475091.148,2.69
14134,586355.052,4475091.33,2.657
14135,586354.474,4475091.448,2.656
14136,586353.81,4475091.569,2.648
14137,586352.809,4475091.545,2.61
14138,586351.655,4475091.685,2.585
14139,586350.242,4475092.196,2.59
14140,586348.923,4475092.244,2.53
14141,586347.683,4475092.137,2.499
14142,586346.405,4475092.158,2.464
14143,586345.107,4475092.199,2.454
14144,586343.725,4475092.273,2.423
14145,586342.275,4475092.306,2.365
14146,586340.981,4475092.421,2.255
14147,586339.73,4475092.483,2.186
14148,586338.166,4475092.607,2.177
14149,586336.829,4475092.736,2.188
14150,586335.666,4475092.858,2.222
14151,586334.373,4475092.921,2.233
14152,586333.197,4475093.047,2.263
14153,586331.81,4475093.088,2.291
14154,586330.518,4475093.065,2.336
14155,586329.233,4475093.081,2.359
14156,586327.962,4475092.926,2.398
14157,586326.687,4475092.795,2.465
14158,586325.44,4475092.625,2.501
14159,586324.113,4475092.406,2.541
14160,586322.784,4475092.202,2.585
14161,586321.406,4475092.003,2.598
14162,586319.983,4475091.819,2.628
14163,586318.858,4475091.655,2.714
14164,586317.484,4475091.505,2.758
14165,586316.345,4475091.418,2.823
14166,586314.951,4475091.315,2.879
14167,586313.805,4475091.261,2.934
14168,586312.402,4475091.21,2.949
14169,586311.159,4475091.161,3.003
14170,586309.799,4475091.086,3.063
14171,586308.454,4475090.955,3.135
14172,586307.081,4475090.821,3.204
14173,586305.761,4475090.722,3.27
14174,586304.43,4475090.632,3.342
14175,586302.974,4475090.669,3.38
14176,586301.651,4475090.698,3.434
14177,586300.229,4475090.876,3.426
14178,586298.923,4475090.897,3.435
14179,586297.556,4475090.888,3.495
14180,586296.237,4475090.765,3.53
14181,586294.87,4475090.6,3.513
14182,586293.56,4475090.601,3.615
14183,586292.259,4475090.638,3.56
14184,586290.895,4475090.819,3.596
14185,586289.587,4475090.839,3.586
14186,586288.145,4475090.887,3.603
14187,586286.849,4475090.887,3.63
14188,586285.438,4475090.888,3.603
14189,586284.102,4475091.122,3.592
14190,586282.315,4475091.389,3.55
14191,586280.865,4475091.528,3.542
14192,586279.878,4475091.674,3.585
14193,586278.083,4475091.894,3.531
14194,586276.737,4475092.054,3.53
14195,586275.329,4475092.111,3.515
14196,586273.975,4475092.144,3.511
14197,586272.563,4475092.201,3.495
14198,586271.5,4475092.242,3.502
14199,586269.941,4475092.224,3.497
14200,586268.518,4475092.322,3.487
14201,586267.117,4475092.397,3.459
14202,586265.692,4475092.531,3.436
14203,586264.233,4475092.498,3.433
14204,586262.855,4475092.517,3.425
14205,586261.784,4475092.488,3.406
14206,586260.071,4475092.389,3.428
14207,586258.714,4475092.305,3.408
14208,586257.427,4475092.355,3.444
14209,586256.214,4475092.265,3.391
14210,586254.951,4475092.214,3.386
14211,586253.659,4475092.171,3.361
14212,586252.358,4475092.153,3.363
14213,586251.075,4475092.097,3.364
14214,586250.076,4475091.986,3.344
14215,586248.512,4475091.738,3.346
14216,586247.189,4475091.557,3.328
14217,586245.922,4475091.376,3.309
14218,586244.548,4475091.287,3.318
14219,586243.271,4475091.129,3.309
14220,586242.041,4475091.022,3.311
14221,586240.901,4475090.925,3.308
14282,586241.192,4475116.554,3.404
14283,586242.705,4475116.559,3.413
14284,586244.299,4475116.518,3.388
14285,586245.816,4475116.447,3.423
14286,586247.32,4475116.259,3.42
14287,586248.805,4475116.138,3.397
14288,586250.377,4475116.048,3.376
14289,586251.877,4475116.061,3.391
14290,586253.31,4475116.236,3.363
14291,586254.87,4475116.307,3.383
14292,586256.348,4475116.461,3.454
14293,586257.712,4475116.502,3.572
14294,586259.119,4475116.633,3.474
14295,586260.561,4475116.624,3.46
14296,586262.051,4475116.555,3.511
14297,586263.506,4475116.494,3.476
14298,586264.857,4475116.518,3.501
14299,586266.315,4475116.592,3.514
14300,586268.071,4475116.495,3.552
14301,586269.426,4475116.23,3.589
14302,586270.781,4475116.005,3.594
14303,586272.243,4475115.84,3.603
14304,586273.732,4475115.641,3.56
14305,586275.225,4475115.428,3.62
14306,586276.7,4475115.295,3.545
14307,586278.134,4475115.159,3.606
14308,586279.456,4475115.03,3.601
14309,586280.775,4475114.854,3.576
14310,586282.273,4475114.766,3.53
14311,586283.641,4475114.715,3.52
14312,586284.979,4475114.884,3.571
14313,586286.322,4475115.085,3.542
14314,586287.711,4475115.153,3.624
14315,586289.143,4475115.242,3.618
14316,586290.485,4475115.534,3.658
14317,586291.677,4475115.852,3.659
14318,586292.898,4475116.149,3.626
14319,586294.216,4475116.465,3.663
14320,586295.523,4475116.538,3.621
14321,586296.847,4475116.558,3.598
14322,586298.211,4475116.504,3.568
14323,586299.53,4475116.489,3.533
