ID,X,Y,Z
100457,586257.041,4475848.175,1.737
100458,586256.011,4475847.98,1.764
100459,586255.024,4475847.927,1.742
100460,586254.401,4475848.03,1.757
100461,586254.148,4475847.93,1.754
100462,586254.136,4475847.877,1.749
100463,586254.133,4475847.866,1.755
100464,586254.104,4475847.87,1.759
100465,586253.751,4475848.047,1.771
100466,586253.103,4475848.33,1.78
100467,586252.369,4475848.883,1.752
100468,586251.737,4475849.435,1.776
100469,586250.8,4475850.047,1.751
100470,586249.937,4475850.515,1.769
100471,586249.231,4475850.895,1.805
100472,586248.368,4475850.943,1.824
100473,586247.323,4475850.787,1.886
100474,586246.404,4475850.615,1.913
100475,586245.544,4475850.388,1.943
100476,586244.738,4475850.03,2.005
100477,586243.871,4475849.716,1.985
100478,586242.954,4475849.39,2.024
100479,586241.929,4475849.174,2.05
100480,586241.307,4475849.075,2.051
100481,586241.026,4475849.166,2.048
100482,586240.322,4475849.228,2.081
100483,586239.499,4475849.449,2.159
100484,586238.636,4475849.791,2.227
100485,586237.599,4475850.103,2.349
100486,586236.38,4475850.324,2.543
100487,586235.462,4475850.403,2.706
100488,586235.044,4475850.188,2.769
100489,586234.965,4475850.282,2.788
100490,586234.921,4475850.31,2.784
100491,586234.924,4475850.312,2.783
100492,586234.936,4475850.308,2.778
100493,586236.018,4475824.538,2.344
100494,586236.019,4475824.534,2.343
100495,586236.022,4475824.518,2.339
100496,586236.022,4475824.532,2.34
100497,586236.028,4475824.56,2.342
100498,586236.444,4475824.433,2.341
100499,586237.12,4475824.547,2.289
100500,586237.881,4475824.686,2.29
100501,586238.062,4475824.665,2.282
100502,586237.957,4475824.64,2.359
100503,586238.635,4475824.758,2.344
100504,586239.574,4475824.856,2.299
100505,586240.24,4475824.986,2.249
100506,586240.94,4475825.1,2.33
100507,586241.82,4475825.226,2.258
100508,586242.629,4475825.338,2.317
100509,586243.558,4475825.566,2.248
100510,586244.294,4475825.641,2.247
100511,586245.196,4475825.838,2.175
100512,586245.916,4475825.856,2.169
100513,586246.566,4475825.885,2.159
100514,586246.728,4475825.831,2.166
100515,586246.638,4475825.875,2.161
100516,586246.93,4475825.974,2.164
100517,586247.751,4475826.18,2.123
100518,586248.578,4475826.316,2.09
100519,586249.658,4475826.526,1.998
100520,586250.537,4475826.805,1.997
100521,586250.989,4475827.056,1.976
100522,586250.917,4475826.99,1.966
100523,586250.902,4475826.986,1.963
100524,586250.892,4475827.008,1.957
100525,586250.89,4475827.029,1.954
100526,586250.92,4475826.917,1.965
100527,586250.919,4475826.931,1.977
100528,586250.921,4475826.933,1.974
100529,586250.989,4475826.915,1.976
100530,586251.463,4475827.067,1.971
100531,586252.199,4475827.478,1.921
100532,586252.912,4475827.503,1.926
100533,586253.748,4475827.556,1.926
100534,586254.506,4475827.58,1.899
100535,586255.287,4475827.389,1.877
100536,586256.371,4475826.964,1.842
100537,586257.246,4475826.318,1.821
100538,586258.013,4475825.62,1.826
100539,586258.809,4475825.146,1.809
100540,586259.668,4475824.802,1.786
100541,586260.594,4475824.706,1.83
100542,586261.465,4475824.723,1.84
100543,586262.381,4475824.656,1.881
100544,586263.154,4475824.712,1.878
100545,586263.988,4475824.591,1.893
100546,586264.823,4475824.479,1.914
100547,586265.723,4475824.41,1.92
100548,586266.489,4475824.434,1.934
100549,586267.169,4475824.443,1.924
100550,586267.731,4475824.479,1.94
100551,586268.21,4475824.561,1.981
100552,586269.039,4475824.677,1.96
100553,586269.642,4475824.838,2.002
100554,586270.614,4475824.907,2.01
100555,586271.435,4475825.057,2.054
100556,586272.271,4475825.192,2.093
100557,586273.157,4475825.357,2.117
100558,586273.991,4475825.543,2.181
100559,586274.806,4475825.705,2.223
100560,586275.634,4475825.782,2.322
100561,586276.38,4475825.852,2.341
100562,586277.18,4475825.934,2.401
100563,586278.051,4475825.922,2.432
100564,586278.935,4475825.875,2.453
100565,586279.72,4475825.797,2.511
100566,586280.508,4475825.651,2.563
100567,586281.417,4475825.554,2.579
100568,586282.421,4475825.501,2.608
100569,586283.346,4475825.537,2.641
100570,586284.303,4475825.528,2.644
100571,586285.29,4475825.472,2.678
100572,586286.208,4475825.504,2.703
100573,586287.185,4475825.409,2.714
100574,586288.073,4475825.366,2.737
100575,586288.814,4475825.164,2.756
100576,586289.716,4475825.009,2.748
100577,586290.637,4475824.918,2.768
100578,586291.609,4475824.863,2.761
100579,586292.514,4475824.84,2.772
100580,586293.323,4475824.878,2.774
100581,586294.128,4475824.926,2.781
100582,586294.98,4475824.993,2.789
100583,586295.969,4475825.047,2.772
100584,586296.82,4475825.078,2.695
100585,586297.619,4475825.144,2.69
100586,586298.492,4475825.175,2.633
100587,586299.393,4475825.163,2.602
100588,586300.246,4475825.246,2.526
100589,586301.113,4475825.357,2.477
100590,586302.039,4475825.47,2.406
100591,586302.922,4475825.601,2.351
100592,586303.752,4475825.786,2.276
100593,586304.669,4475825.9,2.217
100594,586305.519,4475826.008,2.138
100595,586306.431,4475826.09,2.042
100596,586307.394,4475826.179,1.959
100597,586308.234,4475826.157,1.861
100598,586309.079,4475826.107,1.776
100599,586309.906,4475826.013,1.677
100600,586310.769,4475825.914,1.55
100601,586311.78,4475825.855,1.436
100602,586312.745,4475825.757,1.326
100603,586313.712,4475825.61,1.241
100604,586314.589,4475825.548,1.141
100605,586315.604,4475825.534,1.048
100606,586316.55,4475825.572,0.964
100607,586317.449,4475825.623,0.853
100608,586318.425,4475825.607,0.75
100609,586319.355,4475825.618,0.632
100610,586320.371,4475825.784,0.537
100611,586321.387,4475825.775,0.401
100612,586322.417,4475825.771,0.258
100613,586323.515,4475825.763,0.127
100614,586324.554,4475825.859,0.009
100615,586325.556,4475825.869,-0.112
100616,586326.536,4475825.931,-0.21
100617,586327.502,4475826.014,-0.31
100618,586328.416,4475826.089,-0.423
100619,586329.382,4475826.085,-0.506
100620,586330.301,4475826.055,-0.591
100621,586331.072,4475826.008,-0.682
100622,586331.917,4475825.953,-0.765
100623,586332.219,4475825.959,-0.811
100624,586332.205,4475825.997,-0.818
100625,586332.189,4475826.003,-0.808
100626,586332.184,4475825.987,-0.815
100627,586332.191,4475826.016,-0.816
100628,586334.889,4475800.14,-0.744
100629,586334.889,4475800.189,-0.75
100630,586334.874,4475800.224,-0.735
100631,586334.74,4475800.182,-0.711
100632,586334.413,4475800.103,-0.672
100633,586333.995,4475800.038,-0.622
100634,586333.564,4475800.023,-0.566
100635,586332.969,4475799.961,-0.512
100636,586332.398,4475799.91,-0.443
100637,586331.813,4475799.877,-0.381
100638,586331.175,4475799.873,-0.324
100639,586330.462,4475799.925,-0.261
100640,586329.789,4475800.031,-0.196
100641,586329.014,4475800.18,-0.119
100642,586328.263,4475800.263,-0.052
100643,586327.461,4475800.402,0.039
100644,586326.758,4475800.417,0.123
100645,586326.011,4475800.393,0.199
100646,586325.274,4475800.36,0.293
100647,586324.531,4475800.311,0.375
